year,Total_ghgAnnual
2020,488000.0
2021,1354521.4319685
2022,2331319.949996778
2023,3369387.2013198193
2024,4475745.43599788
2025,5672288.784961767
2026,6949956.303443524
2027,8292373.600129065
2028,9743917.192728199
2029,11255995.789661735
2030,12833395.626089148
2031,14476825.408596952
2032,16186670.148818942
2033,17967753.431838203
2034,19807368.03007295
2035,21684825.57514795
2036,23603704.423436146
2037,25539749.977414675
2038,27467671.643380903
2039,29423726.592730977
2040,31365709.33712385
2041,33326971.503422737
2042,35263464.173821375
2043,37233748.16104759
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44046974.64847187
2050,46020729.447441466
