year,costAnnualFMs
2020,0.0
2021,26914862.77878098
2022,29775565.655592747
2023,33484696.67930033
2024,38135193.9107815
2025,43819995.41091402
2026,50632039.24057561
2027,58664263.460644014
2028,68009606.131997
2029,78761005.31551237
2030,91011399.0720678
2031,104853725.46254107
2032,120380922.54780991
2033,137405864.32269073
2034,141646975.01749453
2035,145890668.90342274
2036,150136969.92574683
2037,154385902.02973792
2038,158637489.16066778
2039,162891755.2638075
2040,167148724.2844285
2041,171408420.16780224
2042,175670866.8592
2043,179936088.30389327
2044,184204108.44715342
2045,188422128.69469783
2046,192634116.30502853
2047,196838130.71970826
2048,201032232.21764192
2049,0.0
2050,0.0
