year,costAnnualFMs
2020,0.0
2021,27792006.854278978
2022,30825502.55124186
2023,34778128.74067523
2024,39750568.32186329
2025,45843504.194090314
2026,53157619.2566405
2027,61793596.408798076
2028,71852118.5498473
2029,83433868.5790724
2030,96639529.39575757
2031,111569783.89918709
2032,128325314.98864514
2033,147006805.56341597
2034,167714938.5227838
2035,190550396.7660329
2036,202908132.16471988
2037,208635093.6635388
2038,214364931.44154114
2039,220097671.43943775
2040,225833339.59793898
2041,231571961.85775575
2042,237313564.1595986
2043,243058172.44417804
2044,248805812.65220496
2045,254499286.3065399
2046,260186224.60389337
2047,265864525.2726251
2048,271532086.948215
2049,0.0
2050,0.0
