year,Total_ghgAnnual
2020,487999.99999999994
2021,1652784.7260907781
2022,2906963.7555443197
2023,4276522.278543432
2024,5752832.097918321
2025,7369542.633343617
2026,9071489.624119766
2027,10863684.417053796
2028,12747336.087582044
2029,14711582.731408529
2030,16765178.084074935
2031,18911664.445080593
2032,21146526.34939486
2033,23470671.451198876
2034,25886437.092245847
2035,28393933.586381383
2036,30860416.47188122
2037,33301419.576014116
2038,35807706.976411685
2039,38350818.95004494
2040,40834326.17772695
2041,43330179.573513
2042,45872641.83294592
2043,48411158.47989034
2044,50792213.33333334
2045,52000000.0
2046,53077786.66666667
2047,53983626.66666667
2048,54675573.33333334
2049,57288899.46696429
2050,59071900.252428785
