year,Total_costAnnual
2020,35.024
2021,172.45517204230813
2022,306.28274425406624
2023,401.3572520231036
2024,618.8465114739216
2025,863.293176129397
2026,1196.403378566081
2027,1410.001654009601
2028,1541.1986755164576
2029,1653.1047876322634
2030,1743.8161853207598
2031,1811.2606483409925
2032,1853.8663915059797
2033,1870.2236745601795
2034,1859.0358235926228
2035,1819.1539044697597
2036,1754.2226610046482
2037,1667.3095664440002
2038,1554.7717591442558
2039,1420.5645601297806
2040,1279.7717567416598
2041,1126.5088319715862
2042,950.4900495225968
2043,749.7683514889209
2044,540.5433804827958
2045,531.2576660202658
2046,521.9654162007544
2047,512.664528752621
2048,503.35290231134593
2049,216.84162724626606
2050,201.8624391294009
