year,Total_costAnnual
2020,22.316800000000004
2021,129.33154860418335
2022,220.78395041732622
2023,281.63196741557454
2024,435.8442995320787
2025,600.7521270334511
2026,823.459490436055
2027,957.9593356585033
2028,1031.774220076998
2029,1087.7346826890462
2030,1124.0366392755068
2031,1139.047450116155
2032,1131.3031682209612
2033,1099.6260293441178
2034,1043.1693342976491
2035,962.5536497606004
2036,857.3228247231829
2037,729.8604311709165
2038,583.7049306223444
2039,457.5230614178957
2040,314.8783689051301
2041,252.59937365240214
2042,249.09350121254874
2043,245.58745741312362
2044,242.07962294131724
2045,238.56837922550812
2046,235.05210842045133
2047,231.529193392821
2048,227.9980177070969
2049,147.06075804541535
2050,141.95450745298865
