year,Total_ghgAnnual
2020,488000.0
2021,1390349.4194342536
2022,2357303.3540205304
2023,3386680.4671347197
2024,4509244.51208738
2025,5697189.11433132
2026,6949517.541646362
2027,8264566.294341553
2028,9645371.538791887
2029,11094362.871614024
2030,12603243.827059466
2031,14175975.713705089
2032,15813523.24236058
2033,17516140.875458397
2034,19284694.3490645
2035,21120703.287567206
2036,23023790.10683215
2037,24826108.06251646
2038,26687263.511463664
2039,28593417.249770343
2040,30549165.436722025
2041,32542179.163295597
2042,34584012.14612266
2043,36608713.70769848
2044,38486945.230374515
2045,40000000.0
2046,40829066.66666667
2047,41525866.66666667
2048,42058133.33333333
2049,44095912.56255253
2050,45824112.85860184
