year,Total_costAnnual
2020,24.464000000000002
2021,137.9122689285032
2022,242.495982440472
2023,315.59656622627597
2024,484.98354129069827
2025,670.5987053136043
2026,926.0602327785507
2027,1091.415675250852
2028,1194.3264797675663
2029,1282.9876011112397
2030,1356.6573791742976
2031,1414.08251836155
2032,1453.9086303366494
2033,1475.1804125838096
2034,1477.0398587559744
2035,1458.7227631301507
2036,1419.7515743322397
2037,1366.394702952438
2038,1293.989599292714
2039,1204.9805842559845
2040,1100.161896622695
2041,981.7009654437827
2042,842.659805795389
2043,685.5940752971566
2044,525.114607066991
2045,403.78908617641184
2046,398.5274896841411
2047,393.2592488887543
2048,387.98274735568896
2049,141.58706712123944
2050,131.38024877256922
