year,costAnnualAgri
2020,0.0
2021,8326484.403106999
2022,16520289.682293765
2023,24564134.86410197
2024,37721491.20168127
2025,50517655.91384689
2026,62927608.97656013
2027,74910794.38710512
2028,86503778.60604456
2029,97904849.72073878
2030,108789118.30668564
2031,119320671.79952806
2032,129256905.40647146
2033,138600415.049115
2034,147403202.18253368
2035,155755567.78836665
2036,163635873.95233563
2037,171030235.47446433
2038,177959047.94343877
2039,184080712.29271385
2040,189465399.43941197
2041,193772000.8834569
2042,197237579.37237373
2043,198049572.49883327
2044,192621158.86459038
2045,182414340.51592013
2046,172207522.1672499
2047,162000703.81857988
2048,151793885.4699097
2049,141587067.12123945
2050,131380248.77256922
