year,Total_costAnnual
2020,19.571200000000005
2021,113.64819281909277
2022,209.15649155218998
2023,281.41593786843436
2024,429.3900832399024
2025,589.6611640192185
2026,805.2067060026812
2027,946.865795270203
2028,1037.6577647837803
2029,1116.0001446510284
2030,1180.8698708841857
2031,1231.19395102031
2032,1266.046294704263
2033,1286.7950325125528
2034,1292.4646682859593
2035,1285.2608019780864
2036,1268.9251173273615
2037,1241.2552278428977
2038,1203.8092425939935
2039,1156.1802306037953
2040,1108.1164465928036
2041,1053.8453552909393
2042,987.2045716879409
2043,911.7512271694345
2044,815.874307528167
2045,704.6591849612737
2046,555.2950676257947
2047,502.4239299748151
2048,490.58801315070264
2049,180.78434046698737
2050,162.84761888816612
