year,Total_ghgAnnual
2020,390400.0
2021,1028901.7609915687
2022,1770582.43481437
2023,2597900.955530043
2024,3501305.0610976275
2025,4459534.92530988
2026,5474994.210713239
2027,6543188.331090106
2028,7661014.677482828
2029,8835368.749097018
2030,10070244.571686758
2031,11363610.340157602
2032,12710381.670435898
2033,14086850.563363742
2034,15501582.099612229
2035,16929272.45221637
2036,18338072.908685945
2037,19758005.062627636
2038,21184328.97143903
2039,22626614.16827651
2040,24024288.455402877
2041,25442342.26209253
2042,26901900.101442434
2043,28341871.232241258
2044,29798360.13718645
2045,31122539.609290954
2046,32477729.985600214
2047,33220693.333333336
2048,33646506.666666664
2049,35085732.708122276
2050,35707802.96685758
