year,costAnnualAgri
2020,0.0
2021,7800470.1555254925
2022,24900668.673918948
2023,45568329.02579294
2024,68021593.09426503
2025,89894630.67524794
2026,111091867.18816757
2027,131529850.23940113
2028,151158111.33351508
2029,170052514.75617146
2030,188572846.0964514
2031,206483877.51831996
2032,223293232.9059567
2033,238568133.2355479
2034,252617976.01239556
2035,264825370.62173703
2036,274393066.61649656
2037,281849747.5818929
2038,286975952.89524543
2039,289259866.455839
2040,286910878.5089402
2041,282410012.70277137
2042,276894880.1701502
2043,268599056.9670679
2044,258570533.97849813
2045,247113208.6012715
2046,234594505.20345035
2047,216657783.6246294
2048,198721062.04580846
2049,180784340.46698737
2050,162847618.88816613
