year,costAnnualFMs
2020,0.0
2021,21949121.090835385
2022,23839603.227145188
2023,26182580.37513277
2024,29027619.500599585
2025,32424287.56934713
2026,36422151.54717683
2027,41070778.39989017
2028,46419735.093288645
2029,52518588.59317368
2030,59416905.86534678
2031,67164253.87560937
2032,75810199.58976296
2033,85404309.97360899
2034,95996151.99294887
2035,107635292.6135843
2036,120371298.80131648
2037,134253737.5219469
2038,149332175.74127725
2039,165625816.47381508
2040,183196650.39874595
2041,202107392.16687837
2042,222407431.9401456
2043,244146159.8804808
2044,267372966.14981735
2045,273510435.6518724
2046,279649423.33478606
2047,285766146.35018575
2048,291866951.10489416
2049,0.0
2050,0.0
