year,techAgri,r,costTechAgri
2041,Agri06_Biochar,DE2,0.0
2041,Agri06_Biochar,DE3,0.0
2041,Agri06_Biochar,DE4,0.0
2041,Agri06_Biochar,DE5,0.0
2041,Agri06_Biochar,DE6,0.0
2041,Agri06_Biochar,DE7,0.0
2041,Agri06_Biochar,DE8,0.0
2041,Agri06_Biochar,DE9,0.0
2041,Agri06_Biochar,DEA,0.0
2041,Agri06_Biochar,DEB,0.0
2041,Agri06_Biochar,DEC,0.0
2041,Agri06_Biochar,DEE,0.0
2041,Agri06_Biochar,DED,0.0
2041,Agri06_Biochar,DEF,0.0
2041,Agri06_Biochar,DEG,0.0
2042,Agri01_AGC,DE1,7730756.357172211
2042,Agri01_AGC,DE2,15553732.266689043
2042,Agri01_AGC,DE3,15740.540998848111
2042,Agri01_AGC,DE4,6665631.445390349
2042,Agri01_AGC,DE5,50607.39685026002
2042,Agri01_AGC,DE6,83124.73898194544
2042,Agri01_AGC,DE7,3426969.5955650993
2042,Agri01_AGC,DE8,7353820.748715862
2042,Agri01_AGC,DE9,13703520.019721093
2042,Agri01_AGC,DEA,8077632.415587408
2042,Agri01_AGC,DEB,4019212.2818316626
2042,Agri01_AGC,DEC,427369.84778574755
2042,Agri01_AGC,DEE,6164438.595545921
2042,Agri01_AGC,DED,4587211.421925348
2042,Agri01_AGC,DEF,3243286.5863852343
2042,Agri01_AGC,DEG,2593240.272181056
2042,Agri02_OFC,DE1,6513433.623656536
2042,Agri02_OFC,DE2,10003562.413251579
2042,Agri02_OFC,DE3,3562691.4621655685
2042,Agri02_OFC,DE4,6350901.420232692
2042,Agri02_OFC,DE5,1656891.6484917174
2042,Agri02_OFC,DE6,184721.914682379
2042,Agri02_OFC,DE7,2185879.856376463
2042,Agri02_OFC,DE8,6329566.099084003
2042,Agri02_OFC,DE9,8840387.263771776
2042,Agri02_OFC,DEA,6606400.476784118
2042,Agri02_OFC,DEB,3974241.947581451
2042,Agri02_OFC,DEC,2570432.0793651035
2042,Agri02_OFC,DEE,4852008.459296038
2042,Agri02_OFC,DED,4214971.770498799
