year,Total_costAnnual
2020,19.571200000000005
2021,114.37858343627146
2022,202.31074685604844
2023,274.971864886244
2024,423.8658504039079
2025,584.9897838288074
2026,801.7102013859529
2027,943.8892893482291
2028,1035.0619279533137
2029,1114.0957636788419
2030,1179.6921852224393
2031,1230.735768959925
2032,1266.288965667784
2033,1285.6213204054989
2034,1288.4711243145182
2035,1275.9888135350884
2036,1248.2410669462354
2037,1208.1214522640496
2038,1159.6589148627074
2039,1102.118709096192
2040,1043.706094589735
2041,977.66423777638
2042,913.268089317197
2043,836.7040032707408
2044,738.1517203730903
2045,611.3719042088172
2046,487.0215287626148
2047,475.4660190345137
2048,463.9039005205525
2049,202.35834162494564
2050,185.67811264578808
