year,purCO2LULUCF
2020,1.112
2021,3.4329353650349255
2022,5.345391666289288
2023,6.872322359108374
2024,8.032824899180117
2025,8.853892668785456
2026,9.342706478009426
2027,9.54504517740666
2028,9.346229237496832
2029,8.880042256737488
2030,8.171476900445104
2031,7.242386592011137
2032,6.153216692085969
2033,4.926743286341411
2034,3.8267524418662475
2035,2.694623619908448
2036,1.5664837733710506
2037,0.6385461299184598
2038,0.044129933510202335
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
