year,costAnnualAgri
2020,0.0
2021,21651269.170917336
2022,42925189.192208946
2023,63827825.65163504
2024,84421661.77286229
2025,104638759.97772728
2026,124979070.84305967
2027,145093653.2721483
2028,177266279.977341
2029,208231277.46345407
2030,237651178.7778662
2031,265824048.95537344
2032,292170979.10296637
2033,316548084.54697585
2034,326693054.2715684
2035,334810708.53478265
2036,340521786.59850895
2037,333583549.78274995
2038,321029552.1854273
2039,308475554.5881045
2040,295921556.9907816
2041,283367559.3934589
2042,270813561.7961361
2043,258259564.19881326
2044,245705566.60149056
2045,233151569.00416785
2046,220597571.40684497
2047,208043573.8095223
2048,195489576.21219948
2049,182935578.61487663
2050,170381581.01755378
