year,Total_ghgAnnual
2020,488000.0
2021,1666764.6349650759
2022,2944208.3337107142
2023,4316910.974224961
2024,5785308.434153218
2025,7341940.664547879
2026,8999160.188657245
2027,10730721.489260009
2028,12670837.429169837
2029,14705257.743262518
2030,16828523.0995549
2031,19038313.40798886
2032,21293716.64124737
2033,23591490.046991922
2034,25687380.891467087
2035,27759543.04675822
2036,29791382.893295616
2037,31606220.536748204
2038,33090270.066489797
2039,34046300.0
2040,35000000.0
2041,36006400.0
2042,37041866.666666664
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44322875.362674095
2050,46400878.14022429
