year,purCO2LULUCF
2020,1.112
2021,3.5116486056342406
2022,5.514007258230578
2023,7.058141487266447
2024,8.24214423768576
2025,9.08917718638638
2026,9.619008366670514
2027,9.851985468468897
2028,9.821587078463175
2029,9.547084600644043
2030,9.034319457855108
2031,8.302415697640058
2032,7.371485800095044
2033,6.2620563095686546
2034,5.003826676422285
2035,3.6468305212555094
2036,2.3329058623449193
2037,1.0278398133422861
2038,0.43342361693402864
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
