year,Total_ghgAnnual
2020,488000.0
2021,1588051.3943657605
2022,2775592.7417694237
2023,4131091.8460668894
2024,5575989.0956475735
2025,7106656.146946959
2026,8722858.299996156
2027,10423781.19819777
2028,12195479.588203497
2029,14038215.399355963
2030,15965680.54214489
2031,17978284.30235994
2032,20075447.53323829
2033,22256177.023764677
2034,24510306.65691105
2035,26807336.145411156
2036,29024960.804321744
2037,31216926.853324376
2038,32700976.38306597
2039,34046300.0
2040,35000000.0
2041,36006400.0
2042,37041866.666666664
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44033139.7505149
2050,45719995.91660451
