year,costAnnualAgri
2020,0.0
2021,14434179.447278224
2022,28637447.84837988
2023,51658853.9915665
2024,74130114.91643904
2025,96063214.22101767
2026,117506682.74276885
2027,138096812.92051417
2028,157858754.0709918
2029,176475114.12611318
2030,194349729.9003392
2031,211474714.78423157
2032,227809452.04281175
2033,243352682.3531376
2034,257970351.02722022
2035,271266461.2901507
2036,276568062.9514118
2037,279908849.9615894
2038,268821445.2593742
2039,257734040.5571589
2040,246646635.85494366
2041,235559231.15272847
2042,224471826.45051324
2043,213384421.748298
2044,202297017.04608285
2045,191209612.3438677
2046,180122207.64165246
2047,169034802.9394373
2048,157947398.2372221
2049,146859993.53500688
2050,135772588.8327916
