year,costAnnualAgri
2020,0.0
2021,1008197.5646891106
2022,2465322.82997203
2023,10523194.009882268
2024,25279505.531662364
2025,39944120.910219155
2026,54384617.11028399
2027,68662268.23092847
2028,82660644.05275561
2029,96417626.59520018
2030,110392854.40259792
2031,124389109.26651809
2032,137943729.94665483
2033,158429848.20431256
2034,177984619.68177137
2035,196032495.715506
2036,212662924.4830137
2037,221170711.1097092
2038,227724335.9256474
2039,231927507.38595858
2040,224512953.99042892
2041,217098400.59489933
2042,209683847.19936955
2043,202269293.80384007
2044,194854740.4083104
2045,187440187.0127808
2046,180025633.61725113
2047,172611080.22172156
2048,165196526.82619193
2049,157781973.43066224
2050,150367420.03513274
