year,ghgAbateAnnualFMs
2020,585600.0
2021,1716285.74203464
2022,2901453.3106427044
2023,4141692.0773612866
2024,5437591.413727487
2025,6789740.691278399
2026,8198729.28155112
2027,9665146.556082744
2028,11189581.886410367
2029,12772624.644071091
2030,14414864.200602002
2031,16116889.927540198
2032,17879291.196422786
2033,19702657.378786843
2034,21587577.84616949
2035,23534641.970107798
2036,25544439.12213888
2037,27617558.673799828
2038,29754589.996627722
2039,31956122.462159693
2040,34222745.44193279
2041,36555048.30748415
2042,37797608.30748414
2043,39036328.30748415
2044,40232488.30748415
2045,41347368.30748415
2046,42342248.30748415
2047,43178408.30748414
2048,43817128.30748414
2049,45276045.24370668
2050,46550202.90641005
