year,costAnnualFMs
2020,0.0
2021,32297835.33453718
2022,33906046.451587275
2023,35517012.58607879
2024,37130762.47233739
2025,38747324.8446887
2026,40366728.4374584
2027,41989001.984972134
2028,43614174.22155559
2029,45242273.88153438
2030,46873329.6992342
2031,48507370.40898069
2032,50144424.745099515
2033,51784521.44191628
2034,53427689.23375673
2035,55073956.85494646
2036,56723353.039811134
2037,58375906.52267643
2038,60031646.037868015
2039,61690600.31971151
2040,63352798.10253256
2041,65018268.1206569
2042,66629004.13845038
2043,68239534.55749577
2044,69847916.20202622
2045,71452206.78570645
2046,73050464.89385952
2047,74640749.9661174
2048,76221122.27948444
2049,0.0
2050,0.0
