year,Total_costAnnual
2020,29.3568
2021,152.20707499327375
2022,262.7723923247481
2023,335.9472465864244
2024,521.8956052139217
2025,721.9913092782588
2026,994.9549969417506
2027,1161.2529755600078
2028,1253.564320970741
2029,1326.1633350782488
2030,1376.4505044715982
2031,1402.6188333547448
2032,1403.029130254794
2033,1376.1901813037837
2034,1320.7793362157927
2035,1234.7518110495446
2036,1120.1753527788785
2037,975.7462897993224
2038,803.1418391260146
2039,620.2251857514369
2040,455.4749006655685
2041,271.53938136455565
2042,268.024851516904
2043,264.5101160705045
2044,260.99323184959
2045,257.4722565678252
2046,253.94524881053337
2047,250.41026801734617
2048,246.86537446526833
2049,165.5189863203388
2050,160.39372045489387
