year,costAnnualFMs
2020,0.0
2021,22062914.847870506
2022,24167922.752684508
2023,26838549.422095735
2024,30136753.563356
2025,34124493.88371717
2026,38863729.09043107
2027,44416417.89074948
2028,50844518.99192432
2029,58209991.10120736
2030,66574792.92585049
2031,76000883.1731055
2032,86550220.55022423
2033,98284763.76445848
2034,111266471.52306016
2035,125557302.5332811
2036,131349328.75214098
2037,135054595.95887178
2038,138761633.18356168
2039,142470456.3897248
2040,146181081.5408755
2041,149893524.60052794
2042,153607801.53219658
2043,157323928.29939544
2044,161011318.6287265
2045,164695981.44661736
2046,168376622.47826582
2047,172051948.01838267
2048,175720664.91990116
2049,0.0
2050,0.0
