year,Total_costAnnual
2020,10.384
2021,83.57771703789905
2022,145.93241207354845
2023,192.87069041069765
2024,290.4265816193835
2025,394.3069959971291
2026,532.1481251224856
2027,617.8477072308822
2028,666.7596095840984
2029,704.2583592973566
2030,732.2009188209546
2031,746.9182630339125
2032,747.6746207950514
2033,736.8575498876074
2034,715.2499551613712
2035,682.5283534190157
2036,635.619401936559
2037,578.4606670890927
2038,507.01819173745304
2039,429.78470562393994
2040,352.1140572561161
2041,284.1984540865503
2042,260.2893401453616
2043,250.6592429629109
2044,241.0280712556618
2045,231.39485388210244
2046,221.75862013652372
2047,212.11839974034484
2048,202.473222833646
2049,128.8731469426635
2050,117.92157795000487
