year,costAnnualAgri
2020,0.0
2021,1153675.9868044835
2022,9329996.506041765
2023,21478208.416079752
2024,35815429.270125955
2025,50045445.75567242
2026,64045771.89969654
2027,77725252.48182914
2028,91241719.37303664
2029,104589332.00960504
2030,126158879.2672526
2031,146754884.62443247
2032,165845840.1902644
2033,182769332.91244504
2034,197459211.59475958
2035,209884192.82282206
2036,220661106.74415064
2037,228793865.03647953
2038,235255810.8220713
2039,233252011.28709772
2040,227437267.87659132
2041,216485698.8839327
2042,205534129.89127398
2043,194582560.89861542
2044,183630991.9059568
2045,172679422.91329807
2046,161727853.92063943
2047,150776284.92798075
2048,139824715.93532223
2049,128873146.9426635
2050,117921577.95000488
