year,Total_costAnnual
2020,24.464000000000002
2021,131.96359267014802
2022,235.79705359310142
2023,307.973268839381
2024,474.3794367003619
2025,660.402443990919
2026,919.5670147372647
2027,1087.6225741604744
2028,1196.6679171074247
2029,1291.6830711923462
2030,1371.121803486424
2031,1433.7200342209426
2032,1478.357792439091
2033,1503.9732733472156
2034,1509.6575601363236
2035,1494.6994735304568
2036,1459.2495823251295
2037,1403.8422665274534
2038,1329.7734178003257
2039,1246.4057614488108
2040,1154.5646520265325
2041,1053.4138402764697
2042,939.0220015157338
2043,801.7728409306801
2044,653.7251323465922
2045,474.15582663213183
2046,468.91208136465275
2047,463.66169180740616
2048,458.4030415256708
2049,169.270313011371
2050,158.20587946198876
