year,costAnnualAgri
2020,0.0
2021,922940.7894435867
2022,7305242.875779946
2023,13657984.958666412
2024,20582492.530602835
2025,30438887.104137857
2026,42058885.34596766
2027,53548607.52426117
2028,71656902.51010236
2029,89026465.53951763
2030,105770494.43036745
2031,121937816.4894118
2032,137533734.3259297
2033,152915097.57213536
2034,167526584.14968425
2035,181153518.66427806
2036,193922805.54000428
2037,205597799.1447684
2038,216025199.96043876
2039,224988477.25364852
2040,230650858.71308896
2041,233302278.69744226
2042,233315313.47056213
2043,231886774.95328802
2044,224592480.75828207
2045,213528047.20889995
2046,202463613.65951762
2047,191399180.11013538
2048,180334746.56075326
2049,169270313.01137102
2050,158205879.46198878
