year,costAnnualAgri
2020,0.0
2021,6240376.124420393
2022,21908309.78537475
2023,40225750.39648603
2024,58155329.03684172
2025,75538863.74907997
2026,92374867.65237832
2027,108672723.23433931
2028,124556564.39571157
2029,139910162.47958696
2030,154426491.52513447
2031,168174909.2515107
2032,181301948.7060716
2033,193784376.0443421
2034,205526354.07361794
2035,216211085.3739722
2036,224504491.89815304
2037,228674673.30464134
2038,230970323.62692606
2039,231476120.03589317
2040,229699336.83191386
2041,227459187.8460747
2042,223719845.0731892
2043,218986759.93734953
2044,207655508.97221136
2045,196324258.0070729
2046,184993007.04193473
2047,173661756.0767964
2048,162330505.11165816
2049,150999254.1465198
2050,139668003.18138146
