year,purCO2LULUCF
2020,1.112
2021,3.553138062713277
2022,5.555510315098424
2023,7.194311023196541
2024,8.440020607828721
2025,9.352525063516275
2026,9.900805825073675
2027,10.152534310307725
2028,10.227325566176441
2029,10.058358199693624
2030,9.663559260675193
2031,9.064033355027684
2032,8.276130756670975
2033,7.319657181974108
2034,6.219702855625872
2035,5.012237405313908
2036,3.7182539725986175
2037,2.381175147556071
2038,1.1247752116294016
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
