year,costAnnualAgri
2020,0.0
2021,9212218.313189834
2022,18611690.08426603
2023,34286870.869479366
2024,51080177.75709253
2025,67607994.81467444
2026,83873598.46409516
2027,110124579.99694832
2028,135410472.8123172
2029,159743960.6568064
2030,183635690.16311723
2031,206820649.2890683
2032,228720477.14954352
2033,249388728.96244577
2034,268956874.8342557
2035,286931904.52690244
2036,303227267.4573754
2037,317105648.66635376
2038,327635419.6682397
2039,333805572.46627605
2040,334989830.7268434
2041,333792579.17917556
2042,318385421.5157193
2043,302978263.8522631
2044,287571106.188807
2045,272163948.5253509
2046,256756790.86189494
2047,241349633.19843864
2048,225942475.53498253
2049,210535317.8715266
2050,195128160.20807022
