year,purCO2LULUCF
2020,1.112
2021,3.6727014505934266
2022,5.853213548252313
2023,7.6289287308682745
2024,9.053700674094344
2025,10.16010834461552
2026,10.968633515530843
2027,11.432558748550079
2028,11.643450683748902
2029,11.616748393522093
2030,11.361845086751089
2031,10.899948347353593
2032,10.256518679845438
2033,9.451513261320178
2034,8.50796344228699
2035,7.465934495338239
2036,6.346519061422711
2037,5.198097667712496
2038,4.072260834390033
2039,2.9797407185833436
2040,1.9759074451653866
2041,0.9945991196100152
2042,0.36439070095257975
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
