year,Total_ghgAnnual
2020,488000.0
2021,1504880.7444114226
2022,2598229.379758347
2023,3765794.1805157606
2024,5009963.805704474
2025,6328904.413695155
2026,7722667.520411598
2027,9190982.610317316
2028,10726284.22523643
2029,12328899.786265802
2030,14006617.815139562
2031,15759847.59764737
2032,17588449.290383056
2033,19492053.01424464
2034,21465192.831234187
2035,23491106.04211027
2036,25568250.981487915
2037,27661779.519887093
2038,29686690.243547026
2039,31574525.205954887
2040,33449825.515422415
2041,35376191.58134256
2042,37041866.666666664
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44126306.82974154
2050,46184172.19976118
