year,Total_ghgAnnual
2020,488000.0
2021,1496302.908067022
2022,2607856.204950071
2023,3796445.5865588346
2024,5061413.235747797
2025,6396588.662511432
2026,7879622.356342012
2027,9435052.983232833
2028,11057836.017357029
2029,12759088.964274926
2030,14534524.105104167
2031,16381195.297629569
2032,18302458.817236397
2033,20275916.947067108
2034,22299822.42356822
2035,24364437.553448323
2036,26369032.51812701
2037,28394777.870231673
2038,30380311.84233231
2039,32344302.084828988
2040,34188399.66776649
2041,35808054.43551049
2042,37041866.666666664
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44330746.05105956
2050,46439187.42825943
