year,costAnnualAgri
2020,0.0
2021,13918201.416563382
2022,30757527.841599163
2023,47605897.486536205
2024,64201645.32077956
2025,80492441.84708463
2026,107048880.59218383
2027,132726571.83375648
2028,157761468.66255394
2029,182128495.25640556
2030,205397948.68391967
2031,227344275.7784275
2032,248306158.3551267
2033,267912323.61309373
2034,286064585.5092944
2035,302545408.4800195
2036,315392377.70567214
2037,325925333.46471846
2038,331804884.2071189
2039,332745066.84977365
2040,324551237.16244704
2041,309389960.1593944
2042,294228683.15634197
2043,279067406.15328914
2044,263906129.15023664
2045,248744852.14718398
2046,233583575.1441312
2047,218422298.14107874
2048,203261021.138026
2049,188099744.13497344
2050,172938467.13192075
