year,Total_costAnnual
2020,24.464000000000002
2021,139.91857919009922
2022,246.49392307066609
2023,321.14054857611075
2024,480.40572367510526
2025,651.69698453274
2026,888.6850993704705
2027,1034.9907960385863
2028,1119.0766399511924
2029,1183.8213741415423
2030,1227.5724442221617
2031,1248.8488670912004
2032,1246.1773368368513
2033,1220.2049183491279
2034,1170.078874089452
2035,1096.014962794228
2036,1008.7385091645758
2037,900.5386500751356
2038,778.7139811563168
2039,642.826978599285
2040,507.35355391070976
2041,396.90149508355364
2042,349.5120101125752
2043,335.6928699029809
2044,321.871938821449
2045,308.0475982987599
2046,294.2182304920326
2047,280.3822182702677
2048,266.5379452002336
2049,188.09974413497343
2050,172.93846713192076
