year,Total_costAnnual
2020,24.464000000000002
2021,136.04098985886756
2022,238.88465472543152
2023,312.69679526129016
2024,479.25147777065854
2025,666.722437986342
2026,921.2013307191041
2027,1084.5942614728267
2028,1185.5416975771575
2029,1271.1976398439626
2030,1340.0283056963467
2031,1390.6873725856656
2032,1421.9025310234836
2033,1432.6670378453778
2034,1422.353541142793
2035,1391.50620046305
2036,1339.8589407092695
2037,1276.0843793417325
2038,1198.6856611966118
2039,1107.3650142579004
2040,1009.1100053540724
2041,898.695905377885
2042,774.4300618418548
2043,627.7939554750344
2044,467.5786030416402
2045,427.87747084964764
2046,420.13120821048574
2047,412.37830124893725
2048,404.6171335306691
2049,155.75801521072623
2050,143.0665282946907
