year,Total_ghgAnnual
2020,488000.0
2021,1387931.8435938829
2022,2357161.456406492
2023,3417088.397952487
2024,4560479.84966445
2025,5812015.132542061
2026,7131641.138679392
2027,8521832.759845184
2028,9975461.23239049
2029,11495476.730889086
2030,13087305.065357268
2031,14752823.661746848
2032,16488217.50119938
2033,18290483.285393078
2034,20158896.133022137
2035,22079820.274492215
2036,24052394.71933198
2037,25889164.433578823
2038,27728311.672300123
2039,29582369.87886521
2040,31414108.929783214
2041,33281206.31851184
2042,35165647.01346147
2043,37075644.50514071
2044,38910130.64478097
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,43798356.2506934
2050,45299949.013122655
