*,Value
2020,12.0
2021,15.0
2022,18.0
2023,18.0
2024,24.0
2025,30.0
2026,39.0
2027,43.64037483401382
2028,46.04059544988457
2029,48.57282819962823
2030,51.24433375060778
2031,54.062772106891195
2032,57.03622457277021
2033,60.173216924272566
2034,63.48274385510755
2035,66.97429476713847
2036,70.65788097933108
2037,74.54406443319428
2038,78.64398797701998
2039,82.96940731575607
2040,87.53272471812262
2041,92.34702457761937
2042,97.42611092938844
2043,102.7845470305048
2044,108.43769711718255
2045,114.4017704586276
2046,120.69386783385208
2047,127.33203056471395
2048,134.33529224577322
2049,141.72373331929074
2050,149.5185386518517
