*,Value
2020,24.0
2021,30.0
2022,36.0
2023,36.0
2024,48.0
2025,60.0
2026,78.0
2027,87.28074966802764
2028,92.08119089976914
2029,97.14565639925647
2030,102.48866750121556
2031,108.12554421378239
2032,114.07244914554042
2033,120.34643384854513
2034,126.9654877102151
2035,133.94858953427695
2036,141.31576195866216
2037,149.08812886638856
2038,157.28797595403995
2039,165.93881463151214
2040,175.06544943624525
2041,184.69404915523873
2042,194.8522218587769
2043,205.5690940610096
2044,216.8753942343651
2045,228.8035409172552
2046,241.38773566770416
2047,254.6640611294279
2048,268.67058449154644
2049,283.4474666385815
2050,299.0370773037034
