*,*,*,Value
2020,FM03_Beech,DE1,3.661123529706163
2020,FM03_Beech,DE2,3.661123529706163
2020,FM03_Beech,DE3,3.661123529706163
2020,FM03_Beech,DE4,3.661123529706163
2020,FM03_Beech,DE5,3.661123529706163
2020,FM03_Beech,DE6,3.661123529706163
2020,FM03_Beech,DE7,3.661123529706163
2020,FM03_Beech,DE8,3.661123529706163
2020,FM03_Beech,DE9,3.661123529706163
2020,FM03_Beech,DEA,3.661123529706163
2020,FM03_Beech,DEB,3.661123529706163
2020,FM03_Beech,DEC,3.661123529706163
2020,FM03_Beech,DEE,3.661123529706163
2020,FM03_Beech,DED,3.661123529706163
2020,FM03_Beech,DEF,3.661123529706163
2020,FM03_Beech,DEG,3.661123529706163
2020,FM04_DouglasFir,DE1,2.2728160462331886
2020,FM04_DouglasFir,DE2,2.2728160462331886
2020,FM04_DouglasFir,DE3,2.2728160462331886
2020,FM04_DouglasFir,DE4,2.2728160462331886
2020,FM04_DouglasFir,DE5,2.2728160462331886
2020,FM04_DouglasFir,DE6,2.2728160462331886
2020,FM04_DouglasFir,DE7,2.2728160462331886
2020,FM04_DouglasFir,DE8,2.2728160462331886
2020,FM04_DouglasFir,DE9,2.2728160462331886
2020,FM04_DouglasFir,DEA,2.2728160462331886
2020,FM04_DouglasFir,DEB,2.2728160462331886
2020,FM04_DouglasFir,DEC,2.2728160462331886
2020,FM04_DouglasFir,DEE,2.2728160462331886
2020,FM04_DouglasFir,DED,2.2728160462331886
2020,FM04_DouglasFir,DEF,2.2728160462331886
2020,FM04_DouglasFir,DEG,2.2728160462331886
2020,FM05_Oak,DE1,3.517015760083259
2020,FM05_Oak,DE2,3.517015760083259
2020,FM05_Oak,DE3,3.517015760083259
2020,FM05_Oak,DE4,3.517015760083259
2020,FM05_Oak,DE5,3.517015760083259
2020,FM05_Oak,DE6,3.517015760083259
2020,FM05_Oak,DE7,3.517015760083259
2020,FM05_Oak,DE8,3.517015760083259
2020,FM05_Oak,DE9,3.517015760083259
2020,FM05_Oak,DEA,3.517015760083259
2020,FM05_Oak,DEB,3.517015760083259
2020,FM05_Oak,DEC,3.517015760083259
2020,FM05_Oak,DEE,3.517015760083259
2020,FM05_Oak,DED,3.517015760083259
2020,FM05_Oak,DEF,3.517015760083259
2020,FM05_Oak,DEG,3.517015760083259
2020,FM06_ScotPine,DE1,1.3093730582923306
2020,FM06_ScotPine,DE2,1.3093730582923306
2020,FM06_ScotPine,DE3,1.3093730582923306
2020,FM06_ScotPine,DE4,1.3093730582923306
2020,FM06_ScotPine,DE5,1.3093730582923306
2020,FM06_ScotPine,DE6,1.3093730582923306
2020,FM06_ScotPine,DE7,1.3093730582923306
2020,FM06_ScotPine,DE8,1.3093730582923306
2020,FM06_ScotPine,DE9,1.3093730582923306
2020,FM06_ScotPine,DEA,1.3093730582923306
2020,FM06_ScotPine,DEB,1.3093730582923306
2020,FM06_ScotPine,DEC,1.3093730582923306
2020,FM06_ScotPine,DEE,1.3093730582923306
2020,FM06_ScotPine,DED,1.3093730582923306
2020,FM06_ScotPine,DEF,1.3093730582923306
2020,FM06_ScotPine,DEG,1.3093730582923306
2020,PC_Rewetting,DE1,42.60472499896852
2020,PC_Rewetting,DE2,42.60472499896852
2020,PC_Rewetting,DE3,42.60472499896852
2020,PC_Rewetting,DE4,42.60472499896852
2020,PC_Rewetting,DE5,42.60472499896852
2020,PC_Rewetting,DE6,42.60472499896852
2020,PC_Rewetting,DE7,42.60472499896852
2020,PC_Rewetting,DE8,42.60472499896852
2020,PC_Rewetting,DE9,42.60472499896852
2020,PC_Rewetting,DEA,42.60472499896852
2020,PC_Rewetting,DEB,42.60472499896852
2020,PC_Rewetting,DEC,42.60472499896852
2020,PC_Rewetting,DEE,42.60472499896852
2020,PC_Rewetting,DED,42.60472499896852
2020,PC_Rewetting,DEF,42.60472499896852
2020,PC_Rewetting,DEG,42.60472499896852
2021,FM03_Beech,DE1,3.6955908104561446
2021,FM03_Beech,DE2,3.6955908104561446
2021,FM03_Beech,DE3,3.6955908104561446
2021,FM03_Beech,DE4,3.6955908104561446
2021,FM03_Beech,DE5,3.6955908104561446
2021,FM03_Beech,DE6,3.6955908104561446
2021,FM03_Beech,DE7,3.6955908104561446
2021,FM03_Beech,DE8,3.6955908104561446
2021,FM03_Beech,DE9,3.6955908104561446
2021,FM03_Beech,DEA,3.6955908104561446
2021,FM03_Beech,DEB,3.6955908104561446
2021,FM03_Beech,DEC,3.6955908104561446
2021,FM03_Beech,DEE,3.6955908104561446
2021,FM03_Beech,DED,3.6955908104561446
2021,FM03_Beech,DEF,3.6955908104561446
2021,FM03_Beech,DEG,3.6955908104561446
2021,FM04_DouglasFir,DE1,2.294213245241349
2021,FM04_DouglasFir,DE2,2.294213245241349
2021,FM04_DouglasFir,DE3,2.294213245241349
2021,FM04_DouglasFir,DE4,2.294213245241349
2021,FM04_DouglasFir,DE5,2.294213245241349
2021,FM04_DouglasFir,DE6,2.294213245241349
2021,FM04_DouglasFir,DE7,2.294213245241349
2021,FM04_DouglasFir,DE8,2.294213245241349
2021,FM04_DouglasFir,DE9,2.294213245241349
2021,FM04_DouglasFir,DEA,2.294213245241349
2021,FM04_DouglasFir,DEB,2.294213245241349
2021,FM04_DouglasFir,DEC,2.294213245241349
2021,FM04_DouglasFir,DEE,2.294213245241349
2021,FM04_DouglasFir,DED,2.294213245241349
2021,FM04_DouglasFir,DEF,2.294213245241349
2021,FM04_DouglasFir,DEG,2.294213245241349
2021,FM05_Oak,DE1,3.550126352670838
2021,FM05_Oak,DE2,3.550126352670838
2021,FM05_Oak,DE3,3.550126352670838
2021,FM05_Oak,DE4,3.550126352670838
2021,FM05_Oak,DE5,3.550126352670838
2021,FM05_Oak,DE6,3.550126352670838
2021,FM05_Oak,DE7,3.550126352670838
2021,FM05_Oak,DE8,3.550126352670838
2021,FM05_Oak,DE9,3.550126352670838
2021,FM05_Oak,DEA,3.550126352670838
2021,FM05_Oak,DEB,3.550126352670838
2021,FM05_Oak,DEC,3.550126352670838
2021,FM05_Oak,DEE,3.550126352670838
2021,FM05_Oak,DED,3.550126352670838
2021,FM05_Oak,DEF,3.550126352670838
2021,FM05_Oak,DEG,3.550126352670838
2021,FM06_ScotPine,DE1,1.3217000197948414
2021,FM06_ScotPine,DE2,1.3217000197948414
2021,FM06_ScotPine,DE3,1.3217000197948414
2021,FM06_ScotPine,DE4,1.3217000197948414
2021,FM06_ScotPine,DE5,1.3217000197948414
2021,FM06_ScotPine,DE6,1.3217000197948414
2021,FM06_ScotPine,DE7,1.3217000197948414
2021,FM06_ScotPine,DE8,1.3217000197948414
2021,FM06_ScotPine,DE9,1.3217000197948414
2021,FM06_ScotPine,DEA,1.3217000197948414
2021,FM06_ScotPine,DEB,1.3217000197948414
2021,FM06_ScotPine,DEC,1.3217000197948414
2021,FM06_ScotPine,DEE,1.3217000197948414
2021,FM06_ScotPine,DED,1.3217000197948414
2021,FM06_ScotPine,DEF,1.3217000197948414
2021,FM06_ScotPine,DEG,1.3217000197948414
2021,PC_Rewetting,DE1,44.754327033007385
2021,PC_Rewetting,DE2,44.754327033007385
2021,PC_Rewetting,DE3,44.754327033007385
2021,PC_Rewetting,DE4,44.754327033007385
2021,PC_Rewetting,DE5,44.754327033007385
2021,PC_Rewetting,DE6,44.754327033007385
2021,PC_Rewetting,DE7,44.754327033007385
2021,PC_Rewetting,DE8,44.754327033007385
2021,PC_Rewetting,DE9,44.754327033007385
2021,PC_Rewetting,DEA,44.754327033007385
2021,PC_Rewetting,DEB,44.754327033007385
2021,PC_Rewetting,DEC,44.754327033007385
2021,PC_Rewetting,DEE,44.754327033007385
2021,PC_Rewetting,DED,44.754327033007385
2021,PC_Rewetting,DEF,44.754327033007385
2021,PC_Rewetting,DEG,44.754327033007385
2022,FM03_Beech,DE1,3.7300580912061263
2022,FM03_Beech,DE2,3.7300580912061263
2022,FM03_Beech,DE3,3.7300580912061263
2022,FM03_Beech,DE4,3.7300580912061263
2022,FM03_Beech,DE5,3.7300580912061263
2022,FM03_Beech,DE6,3.7300580912061263
2022,FM03_Beech,DE7,3.7300580912061263
2022,FM03_Beech,DE8,3.7300580912061263
2022,FM03_Beech,DE9,3.7300580912061263
2022,FM03_Beech,DEA,3.7300580912061263
2022,FM03_Beech,DEB,3.7300580912061263
2022,FM03_Beech,DEC,3.7300580912061263
2022,FM03_Beech,DEE,3.7300580912061263
2022,FM03_Beech,DED,3.7300580912061263
2022,FM03_Beech,DEF,3.7300580912061263
2022,FM03_Beech,DEG,3.7300580912061263
2022,FM04_DouglasFir,DE1,2.31561044424951
2022,FM04_DouglasFir,DE2,2.31561044424951
2022,FM04_DouglasFir,DE3,2.31561044424951
2022,FM04_DouglasFir,DE4,2.31561044424951
2022,FM04_DouglasFir,DE5,2.31561044424951
2022,FM04_DouglasFir,DE6,2.31561044424951
2022,FM04_DouglasFir,DE7,2.31561044424951
2022,FM04_DouglasFir,DE8,2.31561044424951
2022,FM04_DouglasFir,DE9,2.31561044424951
2022,FM04_DouglasFir,DEA,2.31561044424951
2022,FM04_DouglasFir,DEB,2.31561044424951
2022,FM04_DouglasFir,DEC,2.31561044424951
2022,FM04_DouglasFir,DEE,2.31561044424951
2022,FM04_DouglasFir,DED,2.31561044424951
2022,FM04_DouglasFir,DEF,2.31561044424951
2022,FM04_DouglasFir,DEG,2.31561044424951
2022,FM05_Oak,DE1,3.5832369452584167
2022,FM05_Oak,DE2,3.5832369452584167
2022,FM05_Oak,DE3,3.5832369452584167
2022,FM05_Oak,DE4,3.5832369452584167
2022,FM05_Oak,DE5,3.5832369452584167
2022,FM05_Oak,DE6,3.5832369452584167
2022,FM05_Oak,DE7,3.5832369452584167
2022,FM05_Oak,DE8,3.5832369452584167
2022,FM05_Oak,DE9,3.5832369452584167
2022,FM05_Oak,DEA,3.5832369452584167
2022,FM05_Oak,DEB,3.5832369452584167
2022,FM05_Oak,DEC,3.5832369452584167
2022,FM05_Oak,DEE,3.5832369452584167
2022,FM05_Oak,DED,3.5832369452584167
2022,FM05_Oak,DEF,3.5832369452584167
2022,FM05_Oak,DEG,3.5832369452584167
2022,FM06_ScotPine,DE1,1.3340269812973522
2022,FM06_ScotPine,DE2,1.3340269812973522
2022,FM06_ScotPine,DE3,1.3340269812973522
2022,FM06_ScotPine,DE4,1.3340269812973522
2022,FM06_ScotPine,DE5,1.3340269812973522
2022,FM06_ScotPine,DE6,1.3340269812973522
2022,FM06_ScotPine,DE7,1.3340269812973522
2022,FM06_ScotPine,DE8,1.3340269812973522
2022,FM06_ScotPine,DE9,1.3340269812973522
2022,FM06_ScotPine,DEA,1.3340269812973522
2022,FM06_ScotPine,DEB,1.3340269812973522
2022,FM06_ScotPine,DEC,1.3340269812973522
2022,FM06_ScotPine,DEE,1.3340269812973522
2022,FM06_ScotPine,DED,1.3340269812973522
2022,FM06_ScotPine,DEF,1.3340269812973522
2022,FM06_ScotPine,DEG,1.3340269812973522
2022,PC_Rewetting,DE1,46.903929067046256
2022,PC_Rewetting,DE2,46.903929067046256
2022,PC_Rewetting,DE3,46.903929067046256
2022,PC_Rewetting,DE4,46.903929067046256
2022,PC_Rewetting,DE5,46.903929067046256
2022,PC_Rewetting,DE6,46.903929067046256
2022,PC_Rewetting,DE7,46.903929067046256
2022,PC_Rewetting,DE8,46.903929067046256
2022,PC_Rewetting,DE9,46.903929067046256
2022,PC_Rewetting,DEA,46.903929067046256
2022,PC_Rewetting,DEB,46.903929067046256
2022,PC_Rewetting,DEC,46.903929067046256
2022,PC_Rewetting,DEE,46.903929067046256
2022,PC_Rewetting,DED,46.903929067046256
2022,PC_Rewetting,DEF,46.903929067046256
2022,PC_Rewetting,DEG,46.903929067046256
2023,FM03_Beech,DE1,3.764525371956108
2023,FM03_Beech,DE2,3.764525371956108
2023,FM03_Beech,DE3,3.764525371956108
2023,FM03_Beech,DE4,3.764525371956108
2023,FM03_Beech,DE5,3.764525371956108
2023,FM03_Beech,DE6,3.764525371956108
2023,FM03_Beech,DE7,3.764525371956108
2023,FM03_Beech,DE8,3.764525371956108
2023,FM03_Beech,DE9,3.764525371956108
2023,FM03_Beech,DEA,3.764525371956108
2023,FM03_Beech,DEB,3.764525371956108
2023,FM03_Beech,DEC,3.764525371956108
2023,FM03_Beech,DEE,3.764525371956108
2023,FM03_Beech,DED,3.764525371956108
2023,FM03_Beech,DEF,3.764525371956108
2023,FM03_Beech,DEG,3.764525371956108
2023,FM04_DouglasFir,DE1,2.337007643257671
2023,FM04_DouglasFir,DE2,2.337007643257671
2023,FM04_DouglasFir,DE3,2.337007643257671
2023,FM04_DouglasFir,DE4,2.337007643257671
2023,FM04_DouglasFir,DE5,2.337007643257671
2023,FM04_DouglasFir,DE6,2.337007643257671
2023,FM04_DouglasFir,DE7,2.337007643257671
2023,FM04_DouglasFir,DE8,2.337007643257671
2023,FM04_DouglasFir,DE9,2.337007643257671
2023,FM04_DouglasFir,DEA,2.337007643257671
2023,FM04_DouglasFir,DEB,2.337007643257671
2023,FM04_DouglasFir,DEC,2.337007643257671
2023,FM04_DouglasFir,DEE,2.337007643257671
2023,FM04_DouglasFir,DED,2.337007643257671
2023,FM04_DouglasFir,DEF,2.337007643257671
2023,FM04_DouglasFir,DEG,2.337007643257671
2023,FM05_Oak,DE1,3.616347537845996
2023,FM05_Oak,DE2,3.616347537845996
2023,FM05_Oak,DE3,3.616347537845996
2023,FM05_Oak,DE4,3.616347537845996
2023,FM05_Oak,DE5,3.616347537845996
2023,FM05_Oak,DE6,3.616347537845996
2023,FM05_Oak,DE7,3.616347537845996
2023,FM05_Oak,DE8,3.616347537845996
2023,FM05_Oak,DE9,3.616347537845996
2023,FM05_Oak,DEA,3.616347537845996
2023,FM05_Oak,DEB,3.616347537845996
2023,FM05_Oak,DEC,3.616347537845996
2023,FM05_Oak,DEE,3.616347537845996
2023,FM05_Oak,DED,3.616347537845996
2023,FM05_Oak,DEF,3.616347537845996
2023,FM05_Oak,DEG,3.616347537845996
2023,FM06_ScotPine,DE1,1.3463539427998628
2023,FM06_ScotPine,DE2,1.3463539427998628
2023,FM06_ScotPine,DE3,1.3463539427998628
2023,FM06_ScotPine,DE4,1.3463539427998628
2023,FM06_ScotPine,DE5,1.3463539427998628
2023,FM06_ScotPine,DE6,1.3463539427998628
2023,FM06_ScotPine,DE7,1.3463539427998628
2023,FM06_ScotPine,DE8,1.3463539427998628
2023,FM06_ScotPine,DE9,1.3463539427998628
2023,FM06_ScotPine,DEA,1.3463539427998628
2023,FM06_ScotPine,DEB,1.3463539427998628
2023,FM06_ScotPine,DEC,1.3463539427998628
2023,FM06_ScotPine,DEE,1.3463539427998628
2023,FM06_ScotPine,DED,1.3463539427998628
2023,FM06_ScotPine,DEF,1.3463539427998628
2023,FM06_ScotPine,DEG,1.3463539427998628
2023,PC_Rewetting,DE1,49.05353110108512
2023,PC_Rewetting,DE2,49.05353110108512
2023,PC_Rewetting,DE3,49.05353110108512
2023,PC_Rewetting,DE4,49.05353110108512
2023,PC_Rewetting,DE5,49.05353110108512
2023,PC_Rewetting,DE6,49.05353110108512
2023,PC_Rewetting,DE7,49.05353110108512
2023,PC_Rewetting,DE8,49.05353110108512
2023,PC_Rewetting,DE9,49.05353110108512
2023,PC_Rewetting,DEA,49.05353110108512
2023,PC_Rewetting,DEB,49.05353110108512
2023,PC_Rewetting,DEC,49.05353110108512
2023,PC_Rewetting,DEE,49.05353110108512
2023,PC_Rewetting,DED,49.05353110108512
2023,PC_Rewetting,DEF,49.05353110108512
2023,PC_Rewetting,DEG,49.05353110108512
2024,FM03_Beech,DE1,3.7989926527060898
2024,FM03_Beech,DE2,3.7989926527060898
2024,FM03_Beech,DE3,3.7989926527060898
2024,FM03_Beech,DE4,3.7989926527060898
2024,FM03_Beech,DE5,3.7989926527060898
2024,FM03_Beech,DE6,3.7989926527060898
2024,FM03_Beech,DE7,3.7989926527060898
2024,FM03_Beech,DE8,3.7989926527060898
