*,*,Value
2020,DE1,342257.992
2020,DE2,338437.48
2020,DE3,120.176
2020,DE4,21562.4
2020,DE5,86.16000000000001
2020,DE6,442.74399999999997
2020,DE7,308712.568
2020,DE8,65413.704000000005
2020,DE9,154456.688
2020,DEA,187212.696
2020,DEB,245646.16800000003
2020,DEC,28600.024
2020,DEE,37177.336
2020,DED,23365.760000000002
2020,DEF,43162.552
2020,DEG,118132.872
