*,Value
2020,20.0
2021,25.0
2022,30.0
2023,30.0
2024,40.0
2025,50.0
2026,65.0
2027,72.7339580566897
2028,76.73432574980762
2029,80.95471366604706
2030,85.40722291767963
2031,90.10462017815199
2032,95.06037428795035
2033,100.28869487378762
2034,105.80457309184592
2035,111.62382461189746
2036,117.7631349655518
2037,124.24010738865714
2038,131.0733132950333
2039,138.28234552626012
2040,145.88787453020439
2041,153.91170762936562
2042,162.37685154898074
2043,171.30757838417466
2044,180.72949519530425
2045,190.669617431046
2046,201.15644638975348
2047,212.22005094118992
2048,223.89215374295537
2049,236.2062221988179
2050,249.19756441975287
