year,costAnnualFMs
2020,0.0
2021,26914862.77878098
2022,28255038.70965606
2023,29597510.48839899
2024,30942302.060281146
2025,32289437.370573916
2026,33638940.36454867
2027,34990834.98747677
2028,36345145.184629664
2029,37701894.901278645
2030,39061108.08269517
2031,40422808.67415057
2032,41787020.62091626
2033,43153767.86826357
2034,44523074.36146395
2035,45894964.045788705
2036,47269460.86650929
2037,48646588.768897034
2038,50026371.69822336
2039,51408833.599759586
2040,52793998.41877716
2041,54134835.278054
2042,55477120.829207756
2043,56819235.00328109
2044,58159558.4876762
2045,59496472.710979894
2046,60828359.828152046
2047,62153602.70606846
2048,63470584.909407124
2049,0.0
2050,0.0
