year,Total_costAnnual
2020,24.464000000000002
2021,142.53205223268162
2022,243.86158559962533
2023,313.2572497532569
2024,448.5708810178162
2025,583.4974074850209
2026,751.2966944709397
2027,835.4697304217832
2028,859.8104399189963
2029,856.5631483063296
2030,824.7384859140336
2031,765.7389026594808
2032,680.3803875976452
2033,584.0353291666015
2034,495.330123177078
2035,399.46382032350266
2036,331.96772728881484
2037,324.8559487348599
2038,317.7442975198327
2039,310.6337546925586
2040,303.525300831496
2041,296.41948258638274
2042,289.3151126917662
2043,282.2105710828318
2044,275.1042384510579
2045,267.99449622904183
2046,260.87972657569014
2047,253.75831236176177
2048,246.62863715575727
2049,175.06535720957908
2050,166.6186600794956
