year,Total_ghgAnnual
2020,244000.0
2021,815429.9805159785
2022,1439073.2041129959
2023,2141372.15584214
2024,2912978.8481518985
2025,3734723.5363578126
2026,4604657.819929102
2027,5525568.349234454
2028,6488289.854548485
2029,7496097.791390106
2030,8557305.834872674
2031,9670382.347579334
2032,10830251.591594795
2033,12036423.935188973
2034,13285847.93545213
2035,14561277.214405192
2036,15861275.92043871
2037,17161668.296757188
2038,18436334.0593798
2039,19700880.157627
2040,20908488.590516325
2041,22130958.68106963
2042,23345473.783484273
2043,24564801.600337863
2044,25810807.890344955
2045,27039520.36414989
2046,28242083.89605768
2047,29437428.35159321
2048,30641947.146125875
2049,31255816.88311189
2050,31572762.653080754
