year,Total_costAnnual
2020,29.832
2021,148.61192398066044
2022,274.96592781539624
2023,369.49967135239575
2024,574.9465984237344
2025,804.5639047639104
2026,1125.2588668266908
2027,1346.853526823206
2028,1500.8893548556835
2029,1646.0769326255559
2030,1781.528722734166
2031,1906.609985968678
2032,2020.9428153194656
2033,2124.4457461758407
2034,2217.606943717474
2035,2302.440394113444
2036,2380.0041725607443
2037,2454.326769766146
2038,2530.7457743504137
2039,2609.9946252844366
2040,2701.936138076338
2041,2801.4324194828614
2042,2909.4135994878325
2043,3018.749096830129
2044,3119.2526885480993
2045,3207.025647697757
2046,3277.1650507479662
2047,3315.155772574291
2048,3304.68966987198
2049,3112.345024108041
2050,3197.8551925547113
