year,Total_costAnnual
2020,17.424000000000007
2021,112.67397133957283
2022,194.91051317954552
2023,255.08518475427692
2024,386.25166480390953
2025,528.0876579270556
2026,720.6370719647986
2027,841.7625767820875
2028,917.5959902012142
2029,979.2368843385553
2030,1025.226174050258
2031,1054.2790672122067
2032,1065.2790438119246
2033,1057.306312956608
2034,1029.8986423244735
2035,983.9938707136413
2036,919.4330505061347
2037,838.8700643286902
2038,746.0790046287518
2039,640.2753346737526
2040,529.1884107336964
2041,413.0086435503297
2042,316.8399522533416
2043,306.0026896090506
2044,295.1639942835213
2045,284.32257142118243
2046,273.4771267475355
2047,262.626366557591
2048,251.76899770457663
2049,176.61901579722476
2050,164.44995097702912
