year,purCO2LULUCF
2020,1.112
2021,3.6593679040741947
2022,5.803695597730089
2023,7.583031690094675
2024,8.96859834497274
2025,10.029437379839429
2026,10.785611001156925
2027,11.253833299688843
2028,11.459831684769728
2029,11.420451367962011
2030,11.15370125623954
2031,10.680767812666778
2032,10.01808316832154
2033,9.185534896730797
2034,8.342773446706369
2035,7.405733569163612
2036,6.390888629785973
2037,5.341743075807443
2038,4.326774722697618
2039,3.3508397602897553
2040,2.429239450822223
2041,1.5092733849020803
2042,0.6798380220271838
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
