year,costAnnualAgri
2020,0.0
2021,11598501.180469476
2022,25634173.71280975
2023,39674624.15876122
2024,62479009.26699248
2025,84600839.46507694
2026,106038256.1519865
2027,126802987.4372244
2028,147050200.69672635
2029,166668316.4023633
2030,185371787.8027191
2031,202977790.897844
2032,219781889.64714855
2033,235785402.64946318
2034,250841619.23294556
2035,264576277.40527582
2036,276890260.2563981
2037,287161095.4385993
2038,293265048.9541148
2039,295066565.9126947
2040,293997374.44174474
2041,291902186.7529082
2042,283625259.5923531
2043,269448172.86293495
2044,255271086.1335167
2045,241093999.40409848
2046,226916912.67468008
2047,212739825.945262
2048,198562739.21584368
2049,184385652.48642552
2050,170208565.75700724
