year,Total_ghgAnnual
2020,488000.0
2021,1509918.1183622
2022,2603151.2849560273
2023,3765616.7687061275
2024,5098009.578611144
2025,6501717.122923593
2026,7975077.5011654515
2027,9521163.863758162
2028,11131097.441029096
2029,12808440.188549917
2030,14561792.281486738
2031,16389908.582475467
2032,18287999.853653554
2033,20253650.576510902
2034,22286260.74612056
2035,24368870.484556224
2036,26500330.4402612
2037,28656751.356492735
2038,30812590.5877956
2039,32647200.975738898
2040,34536053.45888316
2041,36006400.0
2042,37041866.666666664
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44026799.43571509
2050,44662835.16891113
