year,Total_costAnnual
2020,73.39200000000001
2021,347.5006336667104
2022,639.5571141750671
2023,836.6001060294991
2024,1288.8186294287875
2025,1778.319138844941
2026,2451.121031727162
2027,2857.953791999384
2028,3081.841715697944
2029,3254.7029298657
2030,3370.998019663992
2031,3426.216871016508
2032,3416.041924961622
2033,3338.978186674287
2034,3190.867233452277
2035,2974.4182225921463
2036,2688.589514293565
2037,2345.6422371441504
2038,1963.5007410418034
2039,1537.4058153777542
2040,1151.8905627932975
2041,720.2757271864564
2042,581.143233662033
2043,573.5244835682568
2044,565.9225768315731
2045,558.333221676405
2046,550.7069172003899
2047,543.0899293319418
2048,535.4647553779147
2049,217.84120828450116
2050,203.8714132851945
