year,costAnnualAgri
2020,0.0
2021,24206081.14937033
2022,48014427.04451874
2023,71391694.58819778
2024,94508516.56214613
2025,117059960.97242558
2026,139077386.80138093
2027,160616474.98456952
2028,181252278.95963034
2029,201303543.2825645
2030,220841747.60609457
2031,239858076.96454865
2032,258334264.0995965
2033,274333680.48568565
2034,289407535.23553157
2035,303159831.5742253
2036,315491452.5917111
2037,325075317.490044
2038,330594292.01309025
2039,332518521.7940265
2040,331572043.145433
2041,329599568.2789529
2042,315629773.27964634
2043,301659978.28033984
2044,287690183.28103346
2045,273720388.28172696
2046,259750593.2824204
2047,245780798.28311405
2048,231811003.28380755
2049,217841208.28450117
2050,203871413.28519452
