year,Total_ghgAnnual
2020,488000.0
2021,1515326.3885255358
2022,2619683.6239799126
2023,3798907.1181298443
2024,5055909.968052333
2025,6386322.87246237
2026,7789791.5577259185
2027,9269434.682740852
2028,10813640.884328496
2029,12428448.513749093
2030,14118608.722671289
2031,15884482.804241564
2032,17726092.097023748
2033,19629698.11679022
2034,21602840.22968465
2035,23628755.736465625
2036,25705902.971748155
2037,27799433.806052227
2038,29870650.89808575
2039,31945697.821409315
2040,33821000.42678173
2041,35747368.78860676
2042,37413046.16983575
2043,38074133.333333336
2044,39070933.333333336
2045,40318041.75260943
2046,40829066.66666667
2047,41525866.666666664
2048,42059623.51682797
2049,43887240.226488635
2050,45360318.21029176
