year,costAnnualFMs
2020,0.0
2021,27583729.570696715
2022,30220965.904559497
2023,33566116.13615549
2024,37696628.64954949
2025,42689951.8288063
2026,48623534.057990685
2027,55574823.72116744
2028,63621269.20240141
2029,72840318.88575734
2030,83303217.48278113
2031,95093028.39778417
2032,108287200.01483123
2033,122959838.70613576
2034,139191433.0778995
2035,157059431.51418734
2036,176641282.39906394
2037,198014434.11659414
2038,221198100.80846593
2039,246315845.882522
2040,252712771.67871872
2041,259111969.86054263
2042,265513460.38238668
2043,271864505.2879169
2044,278232393.5505397
2045,284612833.394678
2046,290956323.91796947
2047,297309131.04882777
2048,303653752.09410715
2049,0.0
2050,0.0
