year,Total_ghgAnnual
2020,488000.0
2021,1511561.1183622
2022,2699780.0314574256
2023,3960612.6566926446
2024,5294027.072060459
2025,6697734.616372909
2026,8171288.273659062
2027,9717589.14364658
2028,11330525.007492172
2029,13012865.844124675
2030,14766217.937061498
2031,16646443.842709009
2032,18600579.77439905
2033,20628353.34909592
2034,22724207.675444152
2035,24856137.00519613
2036,26987596.96090111
2037,29144017.877132647
2038,31276537.12891244
2039,33111147.516855743
2040,35000000.0
2041,36006400.0
2042,37041866.666666664
2043,38074133.333333336
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44426368.736250445
2050,45787056.95691784
