Region,Technology,CostMarg_2020,CostMarg_2050,CostMarg_Slope,CostInv_2020,CostInv_2050,CostInv_Slope,CostInvLevel_2020,CostInvLevel_2050,CostInvLevel_Slope,GHG_2020,GHG_2050,GHG_Slope,ForestGrowth_2020,ForestGrowth_2050,ForestGrowth_Slope
DE1,FM01_PSA,0.0,0.0,0.0,14.288461538461538,35.86642618666163,0.7192654882733363,0.5719177229826673,1.435609057069279,0.02878971113622039,14.2,16.1,0.06333333333333341,7871.933816000001,17112.8996,308.03219279999996
DE1,FM02_TSA,0.0,0.0,0.0,14.288461538461538,16.139891783997733,0.061714341517873125,0.5719177229826673,0.6460240756811756,0.002470211756616942,14.2,16.1,0.06333333333333341,7871.933816000001,17112.8996,308.03219279999996
DE1,FM03_Beech,3.661123529706163,4.695141952205613,0.03446728074998168,5832.288461538462,7479.513327246766,54.90749552361012,1750.495992004954,3817.333977178877,68.8945995057974,3.8,6.6,0.09333333333333335,112.01403361519112,112.01403361519112,0.0
DE1,FM04_DouglasFir,2.272816046233189,2.914732016478011,0.02139719900816073,1654.2884615384614,2121.5124520647605,15.574133017543303,1583.352532716448,3602.9838572294366,67.32104415043294,9.6,10.9,0.043333333333333376,10.87962891688768,10.87962891688768,0.0
DE1,FM05_Oak,3.517015760083259,4.510333537710629,0.03311059258757899,4905.288461538462,6290.69886786579,46.18034687757759,1713.4008902048963,3769.762031772061,68.54537138557217,1.1,5.2,0.13666666666666666,23.701819869023613,23.701819869023613,0.0
DE1,FM06_ScotPine,1.3093730582923306,1.6791819033676512,0.01232696150251068,3950.288461538461,5065.976312624331,37.189595036195634,1675.1853322555385,3720.75317755037,68.18559484316103,4.8,7.3,0.08333333333333333,4.8294804957364095,4.8294804957364095,0.0
DE1,PC_Rewetting,42.60472499896852,107.09278602013453,2.1496020340388666,5500.0,13825.0,277.5,221.68580750584877,557.2375070487925,11.185056651431458,6.1,6.1,0.0,42.06784754873981,1051.696188718495,33.65427803899185
DE2,FM01_PSA,0.0,0.0,0.0,14.288461538461538,35.86642618666163,0.7192654882733363,0.5719177229826673,1.435609057069279,0.02878971113622039,14.2,16.1,0.06333333333333341,7784.062040000001,16921.874,304.59373199999993
DE2,FM02_TSA,0.0,0.0,0.0,14.288461538461538,16.139891783997733,0.061714341517873125,0.5719177229826673,0.6460240756811756,0.002470211756616942,14.2,16.1,0.06333333333333341,7784.062040000001,16921.874,304.59373199999993
DE2,FM03_Beech,3.661123529706163,4.695141952205613,0.03446728074998168,5832.288461538462,7479.513327246766,54.90749552361012,3515.925001536896,5582.762986710819,68.8945995057974,3.8,6.6,0.09333333333333335,110.76365825625648,110.76365825625648,0.0
DE2,FM04_DouglasFir,2.272816046233189,2.914732016478011,0.02139719900816073,1654.2884615384614,2121.5124520647605,15.574133017543303,3348.7815422483905,5368.412866761379,67.32104415043293,9.6,10.9,0.043333333333333376,6.974567238940368,6.974567238940368,0.0
DE2,FM05_Oak,3.517015760083259,4.510333537710629,0.03311059258757899,4905.288461538462,6290.69886786579,46.18034687757759,3478.829899736839,5535.191041304003,68.54537138557217,1.1,5.2,0.13666666666666666,34.83876830450831,34.83876830450831,0.0
DE2,FM06_ScotPine,1.3093730582923306,1.6791819033676512,0.01232696150251068,3950.288461538461,5065.976312624331,37.189595036195634,3440.614341787481,5486.182187082311,68.18559484316106,4.8,7.3,0.08333333333333333,78.76986502985055,78.76986502985055,0.0
DE2,PC_Rewetting,42.60472499896852,107.09278602013453,2.1496020340388666,5500.0,13825.0,277.5,221.68580750584877,557.2375070487925,11.185056651431458,6.1,6.1,0.0,197.84950080616747,4946.237520154187,158.27960064493396
DE3,FM01_PSA,0.0,0.0,0.0,14.288461538461538,35.86642618666163,0.7192654882733363,0.5719177229826673,1.435609057069279,0.02878971113622039,14.2,16.1,0.06333333333333341,2.7640480000000003,6.008800000000001,0.10815840000000002
DE3,FM02_TSA,0.0,0.0,0.0,14.288461538461538,16.139891783997733,0.061714341517873125,0.5719177229826673,0.6460240756811756,0.002470211756616942,14.2,16.1,0.06333333333333341,2.7640480000000003,6.008800000000001,0.10815840000000002
DE3,FM03_Beech,3.661123529706163,4.695141952205613,0.03446728074998168,5832.288461538462,7479.513327246766,54.90749552361012,1926.4745302988963,3993.312515472818,68.89459950579739,3.8,6.6,0.09333333333333335,0.0393311443951298,0.0393311443951298,0.0
DE3,FM04_DouglasFir,2.272816046233189,2.914732016478011,0.02139719900816073,1654.2884615384614,2121.5124520647605,15.574133017543303,1759.3310710103906,3778.9623955233774,67.32104415043291,9.6,10.9,0.043333333333333376,0.0023896289570159,0.0023896289570159,0.0
DE3,FM05_Oak,3.517015760083259,4.510333537710629,0.03311059258757899,4905.288461538462,6290.69886786579,46.18034687757759,1889.379428498839,3945.740570066004,68.54537138557217,1.1,5.2,0.13666666666666666,0.935677742378363,0.935677742378363,0.0
DE3,FM06_ScotPine,1.3093730582923306,1.6791819033676512,0.01232696150251068,3950.288461538461,5065.976312624331,37.189595036195634,1851.163870549481,3896.731715844312,68.18559484316103,4.8,7.3,0.08333333333333333,2.3193383787477573,2.3193383787477573,0.0
DE3,PC_Rewetting,42.60472499896852,107.09278602013453,2.1496020340388666,5500.0,13825.0,277.5,221.68580750584877,557.2375070487925,11.185056651431458,6.1,6.1,0.0,0.607483923790719,15.187098094767975,0.48598713903257523
DE4,FM01_PSA,0.0,0.0,0.0,14.288461538461538,35.86642618666163,0.7192654882733363,0.5719177229826673,1.435609057069279,0.02878971113622039,14.2,16.1,0.06333333333333341,495.9352,1078.12,19.406159999999996
DE4,FM02_TSA,0.0,0.0,0.0,14.288461538461538,16.139891783997733,0.061714341517873125,0.5719177229826673,0.6460240756811756,0.002470211756616942,14.2,16.1,0.06333333333333341,495.9352,1078.12,19.406159999999996
