year,Total_ghgAnnual
2020,488000.0
2021,1401365.1965002285
2022,2443646.4846451185
2023,3578237.2964023026
2024,4780090.641524236
2025,6045711.60665755
2026,7435571.318673383
2027,8877504.901012134
2028,10332286.515931249
2029,11849293.9851923
2030,13429006.714939723
2031,15072436.497447528
2032,16781630.363575254
2033,18555914.087436844
2034,20389973.90442638
2035,22267047.115302466
2036,24163056.13910131
2037,26025189.847259946
2038,27874413.210571628
2039,29734641.108678035
2040,31577393.560034245
2041,33473273.1751699
2042,35376646.50579651
2043,37311989.75548007
2044,39070933.333333336
2045,40000000.0
2046,40829066.66666667
2047,41525866.666666664
2048,42058133.33333333
2049,44048597.889569074
2050,45858654.65647999
