year,Total_costAnnual
2020,24.464000000000002
2021,134.85154096604307
2022,243.06362578450512
2023,320.9612750612261
2024,486.73760153700414
2025,666.0416445066988
2026,909.9257108386846
2027,1063.2056716081695
2028,1155.0601587752703
2029,1230.852507378124
2030,1288.9797677093652
2031,1328.200568728163
2032,1347.2896721954228
2033,1345.1981063829953
2034,1321.4786687118408
2035,1277.1571430982642
2036,1213.8431122376876
2037,1137.6428114836478
2038,1049.9843034131563
2039,949.6035180854026
2040,842.881278237717
2041,721.9156292955724
2042,588.4027376651995
2043,431.5160914286128
2044,278.23200360850956
2045,268.52331698204586
2046,258.80960315790435
2047,249.08924500405362
2048,239.36062608624786
2049,150.9992541465198
2050,139.66800318138147
