year,costAnnualAgri
2020,0.0
2021,1153675.9868044835
2022,15544120.871755866
2023,29939343.67031845
2024,44124048.29330297
2025,58081945.70091512
2026,71838491.22263779
2027,85432726.8984853
2028,99047134.0349044
2029,112597447.0342771
2030,125825433.07569811
2031,146375451.31538537
2032,166123565.20925224
2033,185071093.3561292
2034,203071325.08417386
2035,218164961.12673548
2036,226946166.16656202
2037,234471165.00553688
2038,238643736.12858775
2039,230687509.8410697
2040,222731283.5535517
2041,214775057.2660338
2042,206818830.9785158
2043,198862604.69099787
2044,190906378.40347993
2045,182950152.11596203
2046,174993925.82844406
2047,167037699.54092607
2048,159081473.25340828
2049,151125246.96589026
2050,143169020.67837223
