year,costAnnualFMs
2020,0.0
2021,25187764.685524985
2022,27590410.729583975
2023,30638774.162255555
2024,34403590.33817431
2025,38955594.61197495
2026,44365522.33829207
2027,50704108.87176037
2028,58042089.567014486
2029,66450199.77868904
2030,75999174.86141875
2031,86759750.16983818
2032,98802661.05858204
2033,112198642.88228506
2034,115910249.37692527
2035,119379095.18045834
2036,122849896.3362883
2037,126322670.80336861
2038,129797436.54065281
2039,133274211.50709455
2040,136753013.6616472
2041,140233860.96326444
2042,143716771.3708997
2043,147201762.84350652
2044,150654425.82351223
2045,154104020.35314757
2046,157549090.3732603
2047,160988180.46539974
2048,164470006.6765679
2049,0.0
2050,0.0
