year,Total_costAnnual
2020,24.464000000000002
2021,134.35694193729424
2022,237.2480149601681
2023,311.5523031583269
2024,477.0054437751282
2025,656.87894360366
2026,907.5382051078582
2027,1066.6066199167435
2028,1163.0052210791048
2029,1242.704527270545
2030,1303.9787727094463
2031,1345.2755666258809
2032,1365.2132749327377
2033,1362.613453218566
2034,1341.4856581597664
2035,1299.3983574520907
2036,1236.161966758797
2037,1154.5576444216922
2038,1058.5595376734868
2039,947.4465387716964
2040,829.4991142055418
2041,698.1466700359005
2042,552.2437058014436
2043,416.30470101232527
2044,405.6328347383162
2045,394.9579000139368
2046,384.27844078003477
2047,373.5930016181596
2048,362.950298575313
2049,184.3557626447305
2050,170.23123339071572
